id,SAMPLE_ID,FILENAME,ALT_SAMLE_ID,DATA_FROMAT,SAMPLE_TYPE,PASSAGE,SUBJECT_ID,EXPERIMENTAL_STRATEGY,PAIRED_END,CAPTURE_KIT,PLATFORM,FILESIZE,CHECKSUM,,
5d5ffdb4e4b09cae76807a68,HCI003_pdx_P3_XXX_RNA_10962X5,10962X5_HCI003_PDXtumor_P3_2.txt.gz,10962X5,1,2,3,HCI-003,2,2,4,1,,,,
5d5ffdb4e4b09cae76807abb,HCI004_pdx_P3_XXX_RNA_10962X7,10962X7_HCI004_PDXtumor_P3_1.txt.gz,10962X7,1,2,3,HCI-004,2,1,4,1,,,,
5d5ffdb4e4b09cae76807ac3,HCI004_pdx_P3_XXX_RNA_10962X7,10962X7_HCI004_PDXtumor_P3_2.txt.gz,10962X7,1,2,3,HCI-004,2,2,4,1,,,,
5d5ffdb4e4b09cae76807ac9,HCI005_pdx_P3_XXX_RNA_10962X8,10962X8_HCI005_PDXtumor_P3_1.txt.gz,10962X8,1,2,3,HCI-005,2,1,4,1,,,,
5d5ffdb4e4b09cae76807aa6,HCI005_pdx_P3_XXX_RNA_10962X8,10962X8_HCI005_PDXtumor_P3_2.txt.gz,10962X8,1,2,3,HCI-005,2,2,4,1,,,,
5d5ffdb4e4b09cae76807aba,HCI006_pdx_P3_XXX_RNA_10962X9,10962X9_HCI006_PDXtumor_P3_1.txt.gz,10962X9,1,2,3,HCI-006,2,1,4,1,,,,
5d5ffdb4e4b09cae76807a7b,HCI006_pdx_P3_XXX_RNA_10962X9,10962X9_HCI006_PDXtumor_P3_2.txt.gz,10962X9,1,2,3,HCI-006,2,2,4,1,,,,
5d5ffdb4e4b09cae768078cf,HCI019_tumor_patient_XXX_RNA_13575X7,13575X7_HCI019_patienttumor_2.txt.gz,13575X7,1,1,NA,HCI-019,2,1,4,1,,,,
5d5ffcfce4b011b529179063,HCI005_tumor_patient_XXX_WXS_14238X2,14238X2_HCI-005_Patient_tumor_file1.txt.gz,14238X2,1,1,NA,HCI-005,1,1,1,1,,,,
5d5ffcfce4b011b529179064,HCI005_tumor_patient_XXX_WXS_14238X2,14238X2_HCI-005_Patient_tumor_file2.txt.gz,14238X2,1,1,NA,HCI-005,1,2,1,1,,,,
5d5ffdb4e4b09cae76807aa9,HCI024_pdx_PX_XXX_RNA_14308X3,14308X3_HCI024_PDXtumor_7.txt.gz,14308X3,1,2,NA,HCI-024,2,1,5,1,,,,
5d5ffcfce4b011b5291791cd,HCI002_pdx_P7_XXX_WXS_14518X2,14518X2_HCI002_PDXtumor_P7_1.txt.gz,14518X2,1,2,7,HCI-002,1,1,1,1,,,,
5d5ffcfce4b011b5291791d4,HCI002_pdx_P7_XXX_WXS_14518X2,14518X2_HCI002_PDXtumor_P7_2.txt.gz,14518X2,1,2,7,HCI-002,1,2,1,1,,,,
5d5ffcfce4b011b529178f12,HCI001_pdxo_p5_60_WXS_14518X4,14518X4_HCI001_PDxO_P5_day60_1.txt.gz,14518X4,1,2,5,HCI-001,1,1,1,1,,,,
5d5ffcfce4b011b529178f68,HCI001_pdxo_p5_60_WXS_14518X4,14518X4_HCI001_PDxO_P5_day60_2.txt.gz,14518X4,1,2,5,HCI-001,1,2,1,1,,,,
5d5ffcfce4b011b529178f32,HCI002_pdxo_p7_60_WXS_14518X5,14518X5_HCI002_PDxO_P7_day60_1.txt.gz,14518X5,1,2,7,HCI-002,1,1,1,1,,,,
5d5ffcfce4b011b529178f20,HCI002_pdxo_p7_60_WXS_14518X5,14518X5_HCI002_PDxO_P7_day60_2.txt.gz,14518X5,1,2,7,HCI-002,1,2,1,1,,,,
5d5ffcfce4b011b529178f56,HCI010_pdxo_p6_60_WXS_14518X6,14518X6_HCI010_PDxO_P6_day60_1.txt.gz,14518X6,1,2,6,HCI-010,1,1,1,1,,,,
5d5ffcfce4b011b529178f35,HCI010_pdxo_p6_60_WXS_14518X6,14518X6_HCI010_PDxO_P6_day60_2.txt.gz,14518X6,1,2,6,HCI-010,1,2,1,1,,,,
5d5ffdb4e4b09cae76807987,HCI002_pdxo_P7_60_RNA_14762X11,14762X11_HCI002_PDxO_P7_d60_5.txt.gz,14762X11,1,2,7,HCI-002,2,1,4,1,,,,
5d5ffdb4e4b09cae76807a99,HCI010_pdx_P5_XXX_RNA_14762X14,14762X14_HCI010_PDXtumor___5.txt.gz,14762X14,1,2,5,HCI-010,2,1,4,1,,,,
5d5ffdb4e4b09cae7680798d,HCI010_pdxo_P6_120_RNA_14762X16,14762X16_HCI010_PDxO_P6_day120_3.txt.gz,14762X16,1,2,6,HCI-010,2,1,4,1,,,,
5d5ffcfce4b011b529178f57,HCI001_pdxo_p5_365_WXS_14868X1,14868X1_HCI001_PDxO_P5_day365_1.txt.gz,14868X1,1,2,5,HCI-001,1,1,1,1,,,,
5d5ffcfce4b011b529178f4e,HCI001_pdxo_p5_365_WXS_14868X1,14868X1_HCI001_PDxO_P5_day365_2.txt.gz,14868X1,1,2,5,HCI-001,1,2,1,1,,,,
5d5ffcfce4b011b529178f45,HCI002_pdxo_p7_230_WXS_14868X2,14868X2_HCI002_PDxO_P7_day230_1.txt.gz,14868X2,1,2,7,HCI-002,1,1,1,1,,,,
5d5ffcfce4b011b529178f4b,HCI002_pdxo_p7_230_WXS_14868X2,14868X2_HCI002_PDxO_P7_day230_2.txt.gz,14868X2,1,2,7,HCI-002,1,2,1,1,,,,
5d5ffcfce4b011b529178f49,HCI010_pdxo_p6_120_WXS_14868X3,14868X3_HCI010_PDxO_P6_day120_1.txt.gz,14868X3,1,2,6,HCI-010,1,1,1,1,,,,
5d5ffcfce4b011b529178f69,HCI010_pdxo_p6_120_WXS_14868X3,14868X3_HCI010_PDxO_P6_day120_2.txt.gz,14868X3,1,2,6,HCI-010,1,2,1,1,,,,
5d5ffcfce4b011b52917921b,HCI010_pdx_P5_XXX_WXS_14868X8,14868X8_HCI010_PDXtumor_P5_1.txt.gz,14868X8,1,2,5,HCI-010,1,1,1,1,,,,
5d5ffcfce4b011b5291791e3,HCI010_pdx_P5_XXX_WXS_14868X8,14868X8_HCI010_PDXtumor_P5_2.txt.gz,14868X8,1,2,5,HCI-010,1,2,1,1,,,,
5d5ffdb4e4b09cae768079cb,HCI001_pdxo_P5_365_RNA_14870X2,14870X2_HCI001_PDxO_P5_day365_6.txt.gz,14870X2,1,2,5,HCI-001,2,1,4,1,,,,
5d5ffdb4e4b09cae76807ada,HCI001_pdxo_P5_365_RNA_14870X2,14870X2_HCI001_PDxO_P5_day365_7.txt.gz,14870X2,1,2,5,HCI-001,2,2,4,1,,,,
5d5ffdb4e4b09cae76807a94,HCI002_pdxo_P7_230_RNA_14870X3,14870X3_HCI002_PDxO_P7_day230_6.txt.gz,14870X3,1,2,7,HCI-002,2,1,4,1,,,,
5d5ffdb4e4b09cae76807a9b,HCI002_pdxo_P7_230_RNA_14870X3,14870X3_HCI002_PDxO_P7_day230_7.txt.gz,14870X3,1,2,7,HCI-002,2,2,4,1,,,,
5d5ffdb4e4b09cae76807ab3,HCI028_pdx_P1_XXX_RNA_14967X10,14967X10_HCI028_PDXtumor_P1_4.txt.gz,14967X10,1,2,1,HCI-028,2,1,4,1,,,,
5d5ffdb4e4b09cae76807a81,HCI013EI_pdx_PX_XXX_RNA_14967X11,14967X11_HCI013EI_PDXtumor_4.txt.gz,14967X11,1,2,NA,HCI-013EI,2,1,4,1,,,,
